geography,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value
NE6  5,3701,1711,852,265,19
NE61 1,925,610,330,56,6
NE61 2,1925,1219,609,140,15
NE61 3,928,519,136,18,2
NE61 4,307,158,70,12,1
NE61 5,1429,1206,757,150,12
NE61 6,1020,654,405,71,5
NE62 5,1720,1431,955,204,14
NE63 0,1291,1260,957,279,12
NE63 8,1576,1128,803,193,10
NE63 9,1544,1551,1351,432,23
NE64 6,904,896,794,241,18
NE65 0,1427,1195,787,149,6
NE65 7,893,599,263,55,5
NE65 8,484,305,140,14,2
NE65 9,1121,820,469,93,2
NE66 1,1343,999,632,170,6
NE66 2,901,545,247,51,1
NE66 3,1019,620,276,27,3
NE66 4,330,251,100,14,0
NE66 5,78,48,29,4,0
NE67 5,203,158,73,12,1
NE68 7,356,359,201,33,3
NE69 7,82,97,34,9,0
NE7  7,3219,1817,975,166,8
NE70 7,329,278,164,36,1
NE71 6,535,515,331,58,4
NE8  1,813,719,571,257,31
NE8  2,1193,1233,795,429,29
NE8  3,1415,1179,965,437,30
NE8  4,2119,1627,1168,482,34
NE9  5,2076,1309,842,253,20
NE9  6,2701,2162,1540,447,17
NE9  7,1596,1676,1423,462,24
NG1  1,651,1086,340,73,12
NG1  3,414,690,239,110,17
NG1  4,402,415,264,100,15
NG1  5,288,405,96,16,2
NG1  6,81,42,22,1,0
NG1  7,96,113,36,11,2
NG10 1,1501,1151,771,218,17
NG10 2,913,647,404,95,13
NG10 3,2881,1901,1174,254,21
NG10 4,1978,1504,967,239,25
NG10 5,1698,1208,743,165,13
NG11 0,557,332,161,22,1
NG11 6,1926,1037,489,83,6
NG11 7,927,635,332,55,3
NG11 8,1654,1973,1574,479,41
NG11 9,1096,1255,1157,316,23
NG12 1,487,367,203,29,1
NG12 2,1504,889,404,46,1
NG12 3,2164,1426,752,134,7
NG12 4,1116,612,263,41,3
NG12 5,1807,1176,550,84,3
NG13 0,1017,577,294,31,0
NG13 8,2749,1461,671,102,7
NG13 9,976,571,245,27,0
NG14 5,911,516,242,38,1
NG14 6,1863,1306,768,169,15
NG14 7,1154,629,281,25,0
NG15 0,366,258,205,49,6
NG15 6,2378,2028,1419,320,22
NG15 7,2378,1746,1253,370,27
NG15 8,1018,726,380,59,5
NG15 9,1389,790,295,32,2
NG16 1,1914,1144,645,88,4
NG16 2,3125,2273,1466,256,9
NG16 3,1621,1538,1216,324,26
NG16 4,845,737,613,170,6
NG16 5,1660,1422,989,214,12
NG16 6,1718,1625,1229,270,19
NG17 1,1138,821,549,169,13
NG17 2,2078,2001,1710,460,39
NG17 3,1338,1269,996,251,14
NG17 4,1444,1391,1014,308,31
NG17 5,866,881,767,177,14
NG17 7,1242,1289,1003,318,28
NG17 8,1789,1481,1107,271,13
NG17 9,1029,908,636,142,9
NG18 1,135,238,184,56,6
NG18 2,1044,1190,987,367,29
NG18 3,1847,1567,1206,338,29
NG18 4,2815,1677,803,212,9
NG18 5,1199,1133,772,244,23
NG19 0,1882,1519,1082,215,9
NG19 6,1635,1788,1434,370,28
NG19 7,1390,1145,1034,292,21
NG19 8,1367,1403,1319,348,22
NG19 9,1720,1303,893,225,13
NG2  1,287,375,285,107,16
NG2  2,838,785,606,257,22
NG2  3,243,417,185,70,8
NG2  4,1408,1556,1109,508,53
NG2  5,2234,925,407,64,9
NG2  6,3230,1301,659,107,2
NG2  7,3764,1838,805,167,23
NG20 0,1197,1217,1142,291,20
NG20 8,1070,1298,1364,447,24
NG20 9,782,917,826,261,11
NG21 0,1901,1599,1279,322,15
NG21 9,1680,1309,969,205,12
NG22 0,1311,950,549,90,7
NG22 8,1435,989,604,93,4
NG22 9,1640,1694,1351,354,15
NG23 5,1628,908,358,52,1
NG23 6,1122,728,324,52,2
NG23 7,968,701,359,38,2
NG24 1,1353,1118,619,178,15
NG24 2,2027,1406,696,181,10
NG24 3,2761,1953,1030,182,5
NG24 4,2195,2149,1413,456,37
NG25 0,2023,1173,447,72,3
NG3  1,411,572,498,208,33
NG3  2,717,716,514,197,22
NG3  3,870,1082,831,339,33
NG3  4,519,650,506,205,26
NG3  5,2182,1321,624,170,18
NG3  6,2371,1528,838,218,13
NG3  7,957,970,716,200,17
NG31 6,621,616,451,169,19
NG31 7,2197,2019,1150,258,22
NG31 8,2927,1880,976,136,11
NG31 9,2349,1818,1128,271,16
NG32 1,885,644,312,28,1
NG32 2,742,523,229,26,1
NG32 3,1022,632,317,47,1
NG33 4,1030,650,297,56,1
NG33 5,1037,711,351,93,6
NG34 0,1134,856,463,91,5
NG34 7,2606,1885,982,222,27
NG34 8,2281,1503,696,103,3
NG34 9,2020,1716,1065,143,6
NG4  1,2229,1889,1272,286,21
NG4  2,1752,1248,741,201,16
NG4  3,1876,1466,863,198,19
NG4  4,1661,1259,651,110,8
NG5  1,1796,1178,690,156,21
NG5  2,1387,756,449,142,19
NG5  3,858,700,407,124,19
NG5  4,2167,1313,597,88,12
NG5  5,2389,2541,1863,560,48
NG5  6,2301,1744,994,254,20
NG5  7,1182,1041,836,193,7
NG5  8,2166,1602,1032,205,16
NG5  9,1400,1379,993,318,41
NG6  0,1485,1273,875,323,28
NG6  7,675,696,482,119,7
NG6  8,1993,2249,1914,667,52
NG6  9,1243,1232,946,288,19
NG7  1,2134,1543,548,195,21
NG7  2,1489,1143,420,130,13
NG7  3,678,988,665,333,47
NG7  4,672,663,375,144,48
NG7  5,800,1034,768,302,47
NG7  6,1140,1151,717,299,25
NG7  7,719,622,379,159,23
NG8  1,1695,1129,704,204,18
NG8  2,2204,1512,872,149,13
NG8  3,1072,1346,1264,380,28
NG8  4,879,1004,1021,383,16
NG8  5,1487,1772,1391,487,37
NG8  6,1154,1603,1299,528,47
NG9  1,2240,1323,708,175,23
NG9  2,2100,1595,1017,292,20
NG9  3,2524,1474,709,80,8
NG9  4,1055,777,571,93,9
NG9  5,1594,1122,635,126,11
NG9  6,2184,1157,458,40,6
NG9  7,1155,870,423,91,7
NG9  8,1557,1269,896,230,21
NN1  1,369,378,194,77,5
NN1  2,416,625,461,171,31
NN1  3,959,993,582,197,31
NN1  4,2180,1389,686,227,29
NN1  5,1765,1061,544,168,21
NN10 0,2559,1813,1033,276,24
NN10 6,1139,723,366,59,3
NN10 8,1618,1003,561,101,2
NN10 9,1953,1625,893,168,15
NN11 0,1124,654,258,46,5
NN11 2,308,176,77,14,1
NN11 3,1439,813,348,44,4
NN11 4,1798,1788,1115,300,28
NN11 6,707,376,162,17,1
NN11 7,382,273,106,15,0
NN11 8,356,181,60,12,1
NN11 9,1144,870,477,116,12
NN12 6,1687,1004,476,106,10
NN12 7,1400,696,283,43,2
NN12 8,2244,1067,431,52,3
NN13 5,1281,658,213,34,1
NN13 6,2266,1226,489,95,6
NN13 7,651,450,191,18,2
NN14 1,2280,1186,567,83,4
NN14 2,2156,1428,671,127,8
NN14 3,973,555,227,45,0
NN14 4,2246,1314,586,120,6
NN14 6,1447,1087,690,134,8
NN15 5,2912,1944,999,146,9
NN15 6,2505,1865,1083,211,21
NN15 7,1196,806,426,97,6
NN16 0,1103,1136,921,301,25
NN16 8,1457,1201,768,199,21
NN16 9,2650,2001,1094,276,20
NN17 1,1387,1446,1019,304,29
NN17 2,1723,1862,1229,373,16
NN17 3,880,526,257,35,1
NN17 4,117,76,21,4,0
NN18 0,1115,1350,992,269,22
NN18 8,2816,1738,736,215,16
NN18 9,1177,1399,974,338,22
NN2  6,1709,1346,812,270,30
NN2  7,2095,1872,1191,405,28
NN2  8,2711,2020,1075,180,11
NN29 7,2351,1603,859,121,3
NN3  2,1802,1548,1112,291,27
NN3  3,1933,1231,526,71,3
NN3  5,1477,1277,696,226,23
NN3  6,1217,1157,659,114,4
NN3  7,1261,786,406,42,4
NN3  8,1935,2235,1454,508,77
NN3  9,1727,1343,688,174,20
NN4  0,2539,1253,452,67,9
NN4  5,1096,365,86,14,1
NN4  6,2387,1054,397,62,4
NN4  7,159,82,32,4,0
NN4  8,2530,2005,1206,359,36
NN4  9,1294,656,263,53,4
NN5  4,1058,468,233,47,3
NN5  5,1219,1125,716,188,27
NN5  6,3269,2371,1114,169,15
NN5  7,1248,1484,1178,436,50
NN6  0,1723,1123,487,71,1
NN6  6,699,420,136,14,1
NN6  7,1702,955,445,70,5
NN6  8,1253,642,260,29,0
NN6  9,2086,1024,427,65,0
NN7  1,1039,627,279,44,2
NN7  2,1404,879,417,61,0
NN7  3,1629,1021,499,80,4
NN7  4,1765,1103,495,83,9
NN8  1,1128,1138,646,207,35
NN8  2,1652,1644,1107,293,15
NN8  3,1694,1893,1255,352,21
NN8  4,1627,1504,998,306,45
NN8  5,1590,1015,396,56,2
NN9  5,2713,2161,1262,271,17
NN9  6,2188,1514,777,150,10
NR1  1,1362,911,426,137,23
NR1  2,1547,1245,769,253,16
NR1  3,931,874,498,171,15
NR1  4,1427,1105,661,192,12
NR10 3,2109,1454,650,98,8
NR10 4,1064,830,391,56,2
NR10 5,1242,837,388,69,2
NR11 6,1578,1213,666,94,2
NR11 7,628,418,205,42,2
NR11 8,1186,1173,651,109,8
NR12 0,736,736,474,90,10
NR12 7,673,498,254,43,4
NR12 8,1223,1116,629,85,6
NR12 9,979,983,524,116,4
NR13 3,1270,1031,512,93,7
NR13 4,1457,963,511,55,1
NR13 5,1684,1024,389,57,1
NR13 6,1149,712,278,54,2
NR14 6,1382,1000,567,102,2
NR14 7,1800,1107,524,40,6
NR14 8,1838,1048,509,61,2
NR15 1,1485,885,363,51,2
NR15 2,1810,1173,599,95,13
NR16 1,1154,710,333,49,1
NR16 2,1263,876,444,93,3
NR17 1,1328,1003,453,87,2
NR17 2,1582,1276,738,133,9
NR18 0,2553,1774,899,178,12
NR18 9,937,548,292,52,1
NR19 1,1844,1792,1048,192,25
NR19 2,1657,1276,749,175,14
NR2  1,275,199,123,54,5
NR2  2,1794,905,499,122,9
NR2  3,3100,1374,550,123,10
NR2  4,1267,980,852,308,27
NR20 3,1407,1073,470,99,11
NR20 4,1220,967,492,86,3
NR20 5,970,710,360,70,4
NR21 0,655,504,253,47,4
NR21 7,620,540,250,45,2
NR21 8,844,833,580,91,9
NR21 9,806,656,319,77,4
NR22 6,131,157,93,13,1
NR23 1,558,538,318,70,1
NR24 2,869,670,348,58,3
NR25 6,930,992,540,111,5
NR25 7,724,579,258,39,3
NR26 8,1501,1506,814,133,11
NR27 0,801,896,533,97,9
NR27 9,1145,1198,699,134,23
NR28 0,1616,1414,869,140,15
NR28 9,1380,1272,828,171,16
NR29 3,1235,987,622,103,7
NR29 4,1294,1259,858,153,14
NR29 5,772,743,454,90,4
NR3  1,1035,828,569,204,22
NR3  2,1132,1311,976,337,15
NR3  3,1907,1597,1085,355,31
NR3  4,2205,1280,655,179,25
NR30 1,509,655,546,209,43
NR30 2,403,882,749,334,64
NR30 3,357,677,602,242,27
NR30 4,835,1094,845,265,45
NR30 5,1367,1480,1090,194,7
NR31 0,876,1033,758,276,33
NR31 6,1483,1432,849,188,12
NR31 7,1366,1474,1245,427,44
NR31 8,2081,1963,1368,310,22
NR31 9,1794,1413,828,165,6
NR32 1,552,664,520,210,32
NR32 2,1221,1436,1048,364,46
NR32 3,1453,1279,773,115,11
NR32 4,2098,1951,1306,296,29
NR32 5,715,528,262,49,2
NR33 0,1230,1193,890,271,59
NR33 7,1367,1515,1206,230,16
NR33 8,2626,1734,922,183,9
NR33 9,1165,1342,996,208,19
NR34 0,409,335,180,26,6
NR34 7,1453,1163,632,79,4
NR34 8,550,445,226,46,3
NR34 9,1587,1518,915,190,24
NR35 1,1104,811,487,102,7
NR35 2,960,783,387,76,7
NR4  6,1900,1344,641,124,7
NR4  7,1864,1279,788,184,7
NR5  0,1494,1266,802,155,13
NR5  8,1537,1654,1341,449,27
NR5  9,1448,1010,638,199,20
NR6  5,1271,1113,662,63,7
NR6  6,1385,1183,638,157,8
NR6  7,1964,1333,663,97,4
NR7  0,2995,1813,894,129,14
NR7  8,2103,1702,943,138,7
NR7  9,1082,1178,939,196,13
NR8  5,1094,586,209,58,6
NR8  6,3465,2031,864,102,10
NR9  3,1639,1014,485,65,1
NR9  4,951,657,340,46,3
NR9  5,1004,673,287,54,2
NW1  0,903,1042,649,265,56
NW1  1,661,1142,859,423,81
NW1  2,135,266,193,70,14
NW1  3,530,990,703,316,76
NW1  4,669,475,208,51,5
NW1  5,607,444,212,95,20
NW1  6,1118,1088,481,175,46
NW1  7,1160,1210,491,160,30
NW1  8,1291,1287,797,402,54
NW1  9,1438,1488,828,420,92
NW10 0,771,1394,1130,464,58
NW10 1,1052,1291,774,277,40
NW10 2,810,1201,891,342,54
NW10 3,1243,1107,581,192,36
NW10 4,939,1428,1103,421,86
NW10 5,2172,1856,1085,353,69
NW10 6,380,424,232,99,20
NW10 7,403,536,263,71,11
NW10 8,999,1758,1532,654,103
NW10 9,799,1328,1093,458,78
NW11 0,968,739,355,79,14
NW11 6,1512,762,279,63,6
NW11 7,1174,715,261,63,2
NW11 8,1039,958,388,122,24
NW11 9,959,844,445,118,23
NW2  1,1085,1159,704,228,36
NW2  2,1010,1033,579,218,43
NW2  3,1493,1772,969,387,76
NW2  4,1328,1238,618,201,46
NW2  5,1246,1475,898,335,65
NW2  6,1286,1531,879,309,56
NW2  7,918,1275,788,268,26
NW3  1,1346,660,198,48,10
NW3  2,2481,2013,957,393,83
NW3  3,1608,1201,538,221,34
NW3  4,2241,1509,542,143,39
NW3  5,1356,796,236,57,18
NW3  6,1162,962,432,129,26
NW3  7,1236,636,168,41,9
NW4  1,1126,835,424,89,13
NW4  2,1142,990,565,155,16
NW4  3,1193,1170,663,164,19
NW4  4,1223,1127,538,141,12
NW5  1,1601,1163,614,245,38
NW5  2,1637,1497,783,371,82
NW5  3,528,553,310,137,35
NW5  4,886,1196,956,486,126
NW6  1,2507,1719,657,182,48
NW6  2,1173,978,554,274,45
NW6  3,1822,1140,405,118,24
NW6  4,1172,1183,690,274,67
NW6  5,1040,1654,1301,621,131
NW6  6,1731,1185,594,190,37
NW6  7,2137,2010,1132,458,84
NW7  1,1073,779,408,118,13
NW7  2,1350,877,414,128,9
NW7  3,1098,735,350,101,15
NW7  4,1133,599,251,50,2
NW8  0,1174,1087,651,252,43
NW8  6,926,608,253,92,6
NW8  7,1010,822,430,210,28
NW8  8,852,1269,1241,705,146
NW8  9,1532,1176,453,170,27
NW9  0,1118,1171,717,187,25
NW9  5,1527,2352,1460,512,90
NW9  6,803,1004,591,154,23
NW9  7,698,950,679,220,41
NW9  8,1070,1240,734,212,20
NW9  9,1101,1189,728,196,22
OL1  2,785,937,820,388,41
OL1  3,301,559,550,245,20
OL1  4,1335,1278,848,308,25
OL10 1,507,521,428,158,21
OL10 2,1312,946,611,147,5
OL10 3,955,1096,992,438,51
OL10 4,1459,1248,943,352,24
OL11 1,441,729,639,270,31
OL11 2,1289,1456,1342,494,46
OL11 3,1100,1174,951,313,24
OL11 4,943,998,686,272,27
OL11 5,2441,1473,717,177,18
OL12 0,650,688,562,213,22
OL12 6,1688,1641,1213,476,90
OL12 7,1951,1248,680,200,12
OL12 8,1409,1017,693,161,12
OL12 9,1406,1325,1117,387,38
OL13 0,610,560,451,103,11
OL13 8,822,539,363,132,14
OL13 9,1074,920,657,239,21
OL14 5,745,680,535,175,19
OL14 6,753,486,262,82,5
OL14 7,624,413,246,78,8
OL14 8,820,577,336,118,8
OL15 0,815,524,287,66,2
OL15 8,1111,740,372,60,6
OL15 9,956,664,458,126,13
OL16 1,36,51,47,30,3
OL16 2,853,1090,985,448,48
OL16 3,1652,1081,657,149,14
OL16 4,1964,1555,967,292,21
OL16 5,569,815,685,328,37
OL2  5,1908,1458,911,194,14
OL2  6,2426,1738,1010,229,22
OL2  7,1903,1524,996,216,15
OL2  8,1666,1143,710,199,15
OL3  5,1709,937,388,64,3
OL3  6,680,387,216,32,3
OL3  7,1100,611,298,51,3
OL4  1,732,1204,1053,447,34
OL4  2,1546,1363,883,311,23
OL4  3,1165,797,522,137,8
OL4  4,1714,971,456,75,10
OL4  5,1455,1219,890,308,18
OL5  0,1058,687,419,147,13
OL5  9,1326,751,389,127,7
OL6  6,925,745,462,147,23
OL6  7,272,410,440,233,59
OL6  8,1445,1352,985,344,28
OL6  9,1542,1513,1034,371,41
OL7  0,684,803,699,277,29
OL7  9,1644,1440,1178,319,32
OL8  1,591,1091,1042,399,50
OL8  2,964,1260,1130,437,34
OL8  3,1224,1499,1116,428,34
OL8  4,875,1007,786,269,29
OL9  0,1414,1100,784,189,16
OL9  6,343,741,706,342,36
OL9  7,542,817,762,263,30
OL9  8,1469,1348,876,262,12
OL9  9,1596,1258,772,188,9
OX1  1,623,513,211,94,17
OX1  2,270,146,42,10,1
OX1  3,152,89,12,2,0
OX1  4,1198,696,299,100,16
OX1  5,1336,795,302,47,6
OX10 0,1261,731,347,80,10
OX10 6,1479,660,242,34,1
OX10 7,977,671,359,85,6
OX10 8,664,408,169,42,5
OX10 9,1282,639,268,40,2
OX11 0,1193,681,299,34,2
OX11 7,2976,1523,579,92,6
OX11 8,1460,1207,775,177,18
OX11 9,1314,740,289,48,7
OX12 0,1475,716,273,47,4
OX12 7,1080,702,300,51,3
OX12 8,1044,654,275,44,8
OX12 9,2019,1167,483,87,7
OX13 5,1163,516,195,28,1
OX13 6,1623,942,441,62,6
OX14 1,2355,1230,483,79,13
OX14 2,1777,916,382,61,4
OX14 3,1979,1116,387,84,10
OX14 4,1610,997,435,96,3
OX14 5,1969,1509,707,206,15
OX15 0,631,334,125,16,1
OX15 4,1508,820,309,41,5
OX15 5,1261,658,274,34,0
OX15 6,805,393,138,30,0
OX16 0,1371,1475,1017,336,28
OX16 1,2031,1329,617,148,22
OX16 2,499,438,268,66,8
OX16 3,869,669,348,105,12
OX16 4,674,535,304,94,16
OX16 5,468,424,311,123,13
OX16 9,2152,1501,753,84,17
OX17 1,1013,563,242,33,1
OX17 2,1398,833,374,36,2
OX17 3,1374,801,334,59,2
OX18 1,1685,743,264,37,4
OX18 2,1216,661,351,72,9
OX18 3,1819,1133,489,83,3
OX18 4,767,438,171,22,1
OX2  0,986,499,214,69,6
OX2  6,2225,1031,289,76,8
OX2  7,2155,1168,375,87,3
OX2  8,1531,729,321,62,8
OX2  9,2198,1152,460,78,5
OX20 1,1194,627,251,33,2
OX25 1,301,202,114,16,0
OX25 2,534,256,70,10,1
OX25 3,118,68,26,6,0
OX25 4,328,130,57,9,0
OX25 5,367,262,91,19,0
OX25 6,282,116,38,4,0
OX26 1,197,89,40,4,0
OX26 2,1597,1204,610,111,9
OX26 3,1634,737,244,62,6
OX26 4,1113,701,357,72,3
OX26 5,256,150,77,7,0
OX26 6,2065,1230,531,99,12
OX27 0,238,105,38,9,0
OX27 7,474,211,115,22,1
OX27 8,616,316,113,13,2
OX27 9,149,65,19,3,0
OX28 1,1792,896,321,80,8
OX28 2,211,105,41,9,1
OX28 3,704,394,173,54,1
OX28 4,300,227,179,24,1
OX28 5,1915,1138,469,94,12
OX28 6,997,789,397,87,2
OX29 0,287,187,91,12,1
OX29 4,1157,742,333,40,5
OX29 5,290,181,72,2,1
OX29 6,528,335,119,25,1
OX29 7,784,416,204,19,2
OX29 8,1472,814,282,35,1
OX29 9,521,285,127,19,0
OX3  0,1950,1085,436,82,2
OX3  7,2203,1534,589,145,16
OX3  8,2369,1493,801,223,26
OX3  9,1502,1255,663,235,24
OX33 1,1640,1021,429,53,3
OX39 4,1534,844,325,29,2
OX4  1,2463,1492,527,173,37
OX4  2,1779,1265,589,160,25
OX4  3,2176,1456,823,203,20
OX4  4,2258,1620,1087,327,45
OX4  6,747,1116,832,276,34
OX4  7,888,738,425,151,8
OX44 7,1207,618,244,45,3
OX44 9,605,364,177,21,2
OX49 5,988,525,242,30,4
OX5  1,2389,1599,716,103,15
OX5  2,1718,1180,529,74,7
OX5  3,670,343,151,20,3
OX7  3,1282,716,292,46,0
OX7  4,329,178,65,6,1
OX7  5,1799,1101,483,87,8
OX7  6,1454,797,304,45,2
OX7  7,459,233,110,14,0
OX9  2,732,468,244,36,4
OX9  3,2215,1000,414,65,4
OX9  7,220,127,57,5,0
PE1  1,129,140,101,24,5
PE1  2,857,1265,953,337,45
PE1  3,1366,1861,1465,421,46
PE1  4,1953,2052,1461,442,54
PE1  5,952,1249,970,298,32
PE10 0,2195,1192,513,96,13
PE10 9,2300,1699,924,145,6
PE11 1,1335,1308,827,124,7
PE11 2,1854,1976,1347,308,25
PE11 3,2323,1923,1118,142,4
PE11 4,1312,1235,835,135,6
PE12 0,951,958,557,111,4
PE12 6,1509,1350,833,150,12
PE12 7,1124,1410,940,133,12
PE12 8,667,729,390,79,2
PE12 9,1495,1878,1364,247,19
PE13 1,407,444,374,124,15
PE13 2,1174,1280,915,263,25
PE13 3,1166,1666,1247,363,34
PE13 4,964,928,679,175,9
PE13 5,856,898,612,135,9
PE14 0,819,792,570,130,20
PE14 7,868,823,525,98,2
PE14 8,738,788,538,116,11
PE14 9,618,571,459,85,6
PE15 0,1538,1255,723,123,8
PE15 8,1702,1567,1027,216,9
PE15 9,1616,1542,1173,237,21
PE16 6,1864,1545,927,193,8
PE19 1,1300,950,549,106,8
PE19 2,1955,1400,683,152,16
PE19 5,1537,911,333,53,2
PE19 6,1780,967,369,54,3
PE19 7,1216,700,263,26,2
PE19 8,1423,1015,550,101,7
PE2  5,2302,2164,1386,408,42
PE2  6,687,294,134,11,2
PE2  7,717,459,194,35,4
PE2  8,2241,1963,1357,296,22
PE2  9,2072,1316,736,214,28
PE20 1,1045,1004,609,135,9
PE20 2,430,462,307,76,3
PE20 3,703,640,422,83,6
PE21 0,1403,1473,988,294,21
PE21 6,372,566,359,108,17
PE21 7,1495,1366,701,132,15
PE21 8,1167,1934,1455,443,58
PE21 9,1510,1347,823,138,17
PE22 0,953,859,571,95,11
PE22 7,571,547,311,54,5
PE22 8,568,590,395,84,7
PE22 9,457,516,365,80,0
PE23 4,468,422,196,30,0
PE23 5,980,938,567,124,9
PE24 4,559,598,452,128,22
PE24 5,884,1385,1127,263,34
PE25 1,680,1134,1103,283,29
PE25 2,923,1375,1283,473,69
PE25 3,779,839,653,195,24
PE26 1,985,809,553,102,10
PE26 2,1224,787,372,54,5
PE27 3,1624,984,410,86,11
PE27 4,546,316,134,11,0
PE27 5,1193,793,401,81,6
PE27 6,918,638,288,53,7
PE28 0,1285,656,224,38,1
PE28 2,1959,1148,507,89,8
PE28 3,2089,1185,501,72,4
PE28 4,1865,1019,481,63,3
PE28 5,1566,954,435,53,3
PE28 9,1521,767,340,36,1
PE29 1,1866,1680,933,220,19
PE29 2,1469,885,425,93,7
PE29 3,419,345,160,58,20
PE29 6,1295,562,159,50,3
PE29 7,481,476,292,100,13
PE3  6,1144,757,388,67,11
PE3  7,636,900,628,223,26
PE3  8,974,1006,559,173,16
PE3  9,1597,1378,710,190,20
PE30 1,253,390,274,83,21
PE30 2,704,947,816,317,30
PE30 3,2847,1911,905,125,6
PE30 4,1944,1729,1096,342,41
PE30 5,1057,1167,856,298,59
PE31 6,1445,1347,817,102,1
PE31 7,1236,1284,872,153,8
PE31 8,969,807,419,70,3
PE32 1,1622,1314,790,141,11
PE32 2,1109,954,546,104,6
PE33 0,1478,1075,609,91,2
PE33 9,1403,960,491,105,4
PE34 3,862,784,484,96,7
PE34 4,1406,1246,847,184,12
PE36 5,574,651,493,94,6
PE36 6,561,532,243,43,2
PE37 7,1002,1143,766,152,11
PE37 8,544,563,351,74,6
PE38 0,745,665,441,92,2
PE38 9,1673,1668,1090,193,13
PE4  5,1303,762,360,87,6
PE4  6,1993,1577,1074,262,19
PE4  7,1815,1666,994,310,32
PE5  7,370,200,92,11,2
PE6  0,1253,907,503,83,7
PE6  7,1894,1252,631,108,6
PE6  8,2919,1699,795,130,12
PE6  9,1439,745,333,25,0
PE7  0,25,30,8,6,0
PE7  1,2236,1892,1213,205,15
PE7  2,541,391,195,35,0
PE7  3,3324,2026,973,192,16
PE7  8,2265,1053,455,116,14
PE8  4,1143,639,294,51,0
PE8  5,849,427,163,23,0
PE8  6,1785,883,404,69,4
PE9  1,1921,1356,841,125,3
PE9  2,2514,1379,524,75,7
PE9  3,1390,792,331,42,4
PE9  4,1511,671,241,35,2
PL1  1,64,119,91,62,13
PL1  2,415,510,290,89,19
PL1  3,811,1020,676,303,57
PL1  4,664,868,720,324,62
PL1  5,1367,1348,957,459,97
PL10 1,700,589,314,59,2
PL11 2,1445,1177,688,152,13
PL11 3,519,394,162,31,2
PL12 4,2099,1440,822,179,13
PL12 5,458,365,157,41,2
PL12 6,1913,1180,607,104,4
PL13 1,729,688,435,104,16
PL13 2,822,918,565,113,10
PL14 3,1405,1226,766,175,15
PL14 4,937,844,496,142,23
PL14 5,1022,854,461,95,9
PL14 6,609,534,344,68,8
PL15 7,1018,993,559,103,12
PL15 8,1169,1041,619,149,12
PL15 9,1166,927,475,116,8
PL16 0,312,256,121,26,2
PL17 7,962,865,569,117,7
PL17 8,839,578,284,54,2
PL18 9,955,725,373,61,8
PL19 0,557,461,211,50,6
PL19 8,1266,856,449,98,8
PL19 9,1508,1057,501,108,9
PL2  1,1853,1494,992,361,54
PL2  2,1256,1374,1090,439,49
PL2  3,1893,1500,880,263,25
PL20 6,1023,709,285,51,3
PL20 7,1338,944,532,101,8
PL21 0,2027,1185,522,94,10
PL21 9,1642,1011,502,96,8
PL22 0,671,567,311,74,3
PL23 1,732,615,264,51,6
PL24 2,1562,1441,940,258,23
PL25 3,2019,1658,812,180,10
PL25 4,1214,1333,928,259,28
PL25 5,936,810,545,139,28
PL26 6,967,824,392,66,9
PL26 7,1528,1413,831,206,16
PL26 8,1781,1585,1150,290,38
PL27 6,1026,809,417,70,7
PL27 7,1211,1018,573,124,11
PL28 8,798,691,363,105,8
PL29 3,193,162,110,13,1
PL3  4,2059,1149,602,150,26
PL3  5,2043,1176,447,74,11
PL3  6,1888,1711,1221,357,35
PL30 3,644,556,272,38,0
PL30 4,463,411,204,43,6
PL30 5,747,622,332,77,8
PL31 1,1279,1200,735,223,18
PL31 2,983,1011,576,204,17
PL32 9,674,647,350,103,5
PL33 9,252,240,179,48,3
PL34 0,302,289,177,39,10
PL35 0,187,166,83,17,1
PL4  0,481,519,312,128,16
PL4  6,984,935,290,97,17
PL4  7,1543,1185,631,187,30
PL4  8,1421,1375,639,269,55
PL4  9,1359,1114,758,274,32
PL5  1,1756,1692,1238,438,33
PL5  2,1270,1410,1160,387,19
PL5  3,1583,1617,1241,355,32
PL5  4,1443,1371,961,338,40
PL6  5,2518,1812,949,187,11
PL6  6,1360,1424,951,273,26
PL6  7,1724,1136,502,91,6
PL6  8,1459,1431,1016,248,12
PL7  1,1679,1233,688,124,8
PL7  2,2327,1359,633,110,8
PL7  4,1774,1270,590,79,4
PL7  5,530,335,150,31,1
PL8  1,594,378,124,19,3
PL8  2,699,467,236,49,3
PL9  0,686,418,166,15,0
PL9  7,1033,716,346,72,2
PL9  8,1570,1216,586,78,2
PL9  9,2337,1744,857,171,15
PO1  1,332,623,712,300,49
PO1  2,732,456,166,41,5
PO1  3,756,1100,566,187,26
PO1  4,365,740,709,307,59
PO1  5,1775,1305,820,247,30
PO10 7,2199,1427,594,104,5
PO10 8,1877,1119,533,101,10
PO11 0,1574,1220,564,129,10
PO11 9,1754,1654,861,180,13
PO12 1,1597,1406,948,275,32
PO12 2,2171,1390,534,79,9
PO12 3,2307,1782,1039,239,27
PO12 4,3390,2390,1230,311,15
PO13 0,2465,2383,1525,378,37
