geography,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value
B98  0,2507,1945,1171,310,26
B98  7,3077,2624,1649,436,42
B98  8,1393,1293,904,257,25
B98  9,1068,885,561,145,9
BA1  1,345,334,190,55,7
BA1  2,1807,1101,456,174,48
BA1  3,1675,933,421,78,14
BA1  4,1122,711,380,84,10
BA1  5,1257,615,207,58,9
BA1  6,2021,1202,499,122,20
BA1  7,1317,717,260,45,1
BA1  8,207,119,38,9,0
BA1  9,62,23,12,1,0
BA10 0,664,453,206,51,5
BA11 1,995,696,398,116,14
BA11 2,2236,1518,775,117,18
BA11 3,923,656,382,97,13
BA11 4,1130,944,508,103,8
BA11 5,680,443,205,45,1
BA11 6,463,247,78,13,2
BA12 0,1208,777,290,48,4
BA12 6,842,687,342,63,6
BA12 7,696,449,163,26,3
BA12 8,1764,1325,655,138,23
BA12 9,1180,1060,580,106,4
BA13 2,248,144,46,12,2
BA13 3,2375,1869,994,226,26
BA13 4,1280,825,354,61,2
BA14 0,2470,1784,846,165,10
BA14 6,1305,826,351,41,1
BA14 7,2966,1960,960,213,22
BA14 8,994,955,557,146,21
BA14 9,1555,1110,636,154,11
BA15 1,2195,1257,601,132,12
BA15 2,944,504,181,39,2
BA16 0,1735,1393,849,169,11
BA16 9,509,349,209,40,3
BA2  0,925,629,346,53,0
BA2  1,2082,1716,1181,335,32
BA2  2,2061,1362,753,169,20
BA2  3,1781,986,439,70,8
BA2  4,1632,778,229,66,5
BA2  5,1518,983,478,105,18
BA2  6,1578,906,328,50,4
BA2  7,1188,613,224,36,2
BA2  8,1603,920,483,102,10
BA2  9,339,204,90,14,2
BA20 1,392,373,285,75,15
BA20 2,1904,1122,508,94,13
BA21 3,2915,2064,1089,252,25
BA21 4,1512,1330,806,200,19
BA21 5,1625,1451,827,212,14
BA22 7,867,527,207,25,0
BA22 8,1773,973,420,80,5
BA22 9,1203,730,356,79,5
BA3  2,1904,1370,724,120,7
BA3  3,1826,1414,775,164,13
BA3  4,1461,929,389,57,4
BA3  5,1365,924,469,70,6
BA4  4,1140,593,253,47,4
BA4  5,1483,1227,677,154,15
BA4  6,874,609,325,38,5
BA5  1,1245,897,412,77,2
BA5  2,1511,1142,602,107,10
BA5  3,938,593,251,40,3
BA6  8,1313,892,447,97,8
BA6  9,1137,991,577,153,31
BA7  7,723,570,274,31,5
BA8  0,845,579,300,64,3
BA9  8,331,221,69,13,2
BA9  9,1090,871,508,81,5
BB1  1,880,1344,1169,540,50
BB1  2,1121,1219,896,399,40
BB1  3,283,379,360,155,14
BB1  4,1156,951,602,178,25
BB1  5,667,918,865,305,30
BB1  6,170,307,281,132,15
BB1  7,317,388,336,138,16
BB1  8,1278,1111,688,210,17
BB1  9,1900,1377,711,162,16
BB10 1,842,1103,943,404,55
BB10 2,1904,1356,781,185,8
BB10 3,1322,1062,738,204,19
BB10 4,1662,1536,1262,389,32
BB11 2,819,656,450,159,18
BB11 3,523,565,541,281,43
BB11 4,835,818,725,321,30
BB11 5,984,971,766,269,11
BB12 0,1223,962,658,221,39
BB12 6,1557,1216,836,234,10
BB12 7,1365,949,593,172,12
BB12 8,1473,1081,750,248,28
BB12 9,725,386,173,13,1
BB18 5,1488,1081,641,198,15
BB18 6,1697,1326,847,233,17
BB2  1,550,781,706,295,37
BB2  2,545,681,571,207,25
BB2  3,1241,1341,1091,459,43
BB2  4,2553,1929,1355,453,42
BB2  5,1454,982,486,62,5
BB2  6,1291,1103,706,242,23
BB2  7,1581,917,323,38,0
BB3  0,1663,1201,724,269,12
BB3  1,1129,899,620,170,17
BB3  2,1851,1237,776,253,21
BB3  3,1528,1306,886,352,30
BB4  4,1527,972,484,125,4
BB4  5,881,800,564,237,25
BB4  6,1487,1017,626,179,21
BB4  7,1053,775,551,147,16
BB4  8,1831,989,561,148,5
BB4  9,988,775,546,151,12
BB5  0,841,1106,1069,455,34
BB5  1,429,617,565,238,29
BB5  2,1474,1031,652,195,18
BB5  3,1466,1098,833,229,24
BB5  4,1422,1244,910,250,19
BB5  5,2076,1501,941,311,21
BB5  6,1800,1432,1018,313,28
BB6  7,1964,1540,1001,260,23
BB6  8,905,409,154,17,0
BB7  1,1622,1019,622,162,23
BB7  2,1530,926,550,96,9
BB7  3,666,402,203,30,3
BB7  4,1139,658,278,40,5
BB7  9,1978,1042,447,74,6
BB8  0,904,917,726,261,33
BB8  7,1074,626,304,40,2
BB8  8,1042,664,364,119,7
BB8  9,1107,1021,775,298,16
BB9  0,1603,1626,1106,349,19
BB9  5,726,818,631,239,20
BB9  6,1149,631,277,40,3
BB9  7,433,696,700,281,35
BB9  8,1159,1184,873,308,30
BB9  9,567,849,893,355,29
BD1  1,44,127,52,15,3
BD1  2,44,119,50,17,5
BD1  3,68,175,130,56,9
BD1  4,104,206,104,37,3
BD1  5,119,250,83,20,3
BD10 0,1595,1155,700,232,31
BD10 8,2048,1302,702,163,8
BD10 9,1151,886,649,220,21
BD11 1,1103,793,372,102,16
BD11 2,1190,792,409,86,5
BD12 0,904,823,485,127,10
BD12 7,385,265,128,49,3
BD12 8,668,692,523,195,15
BD12 9,854,697,379,95,8
BD13 1,789,537,271,67,7
BD13 2,1427,995,568,151,17
BD13 3,1231,983,543,138,15
BD13 4,634,510,258,71,8
BD13 5,605,438,208,42,4
BD14 6,1345,1122,710,198,16
BD15 0,961,560,231,41,2
BD15 7,946,1077,797,267,42
BD15 9,618,390,179,40,1
BD16 1,2040,1332,710,141,11
BD16 2,708,588,343,64,7
BD16 3,1463,671,209,23,2
BD16 4,1685,971,396,94,13
BD17 5,1745,1136,518,145,22
BD17 6,1409,845,422,67,7
BD17 7,803,598,314,69,7
BD18 1,1220,958,587,124,10
BD18 2,785,969,758,331,41
BD18 3,899,782,476,152,27
BD18 4,1770,1001,463,103,6
BD19 3,1111,865,581,161,17
BD19 4,1972,1267,585,153,22
BD19 5,521,387,223,37,1
BD19 6,733,557,337,90,10
BD2  1,1154,1106,674,182,21
BD2  2,856,715,437,106,11
BD2  3,1120,1078,757,205,26
BD2  4,968,1014,663,189,22
BD20 0,1357,835,449,92,7
BD20 5,1632,938,391,57,2
BD20 6,1406,948,438,86,4
BD20 7,1063,646,303,74,3
BD20 8,1197,684,383,85,5
BD20 9,901,564,235,38,1
BD21 1,638,846,716,237,37
BD21 2,506,792,671,255,38
BD21 3,165,382,389,172,35
BD21 4,983,1014,640,205,17
BD21 5,352,418,346,102,14
BD22 0,1090,527,192,39,5
BD22 6,1108,997,773,260,25
BD22 7,1657,1198,718,207,21
BD22 8,880,632,347,98,7
BD22 9,1014,600,247,53,1
BD23 1,1285,849,430,88,10
BD23 2,1569,1292,778,198,8
BD23 3,986,564,259,48,2
BD23 4,764,486,211,37,0
BD23 5,817,552,232,20,0
BD23 6,944,517,174,38,3
BD24 0,415,262,103,16,1
BD24 9,685,508,268,56,13
BD3  0,684,1083,1007,452,60
BD3  7,469,754,627,243,37
BD3  8,497,832,792,364,42
BD3  9,325,697,599,261,39
BD4  0,830,872,674,346,28
BD4  6,1092,917,637,205,23
BD4  7,459,638,537,179,18
BD4  8,741,978,740,307,29
BD4  9,486,783,648,339,40
BD5  0,425,917,861,397,56
BD5  7,358,681,583,265,34
BD5  8,615,927,760,305,37
BD5  9,756,1235,981,396,56
BD6  1,1438,1428,962,280,15
BD6  2,1047,977,724,283,18
BD6  3,2089,1694,1007,350,36
BD7  1,374,587,346,121,32
BD7  2,781,1196,981,375,42
BD7  3,600,984,752,351,37
BD7  4,1245,1139,730,167,25
BD8  0,890,962,687,253,21
BD8  7,372,705,700,370,82
BD8  8,239,537,582,285,49
BD8  9,558,997,883,387,57
BD9  4,764,893,647,214,45
BD9  5,768,997,691,246,26
BD9  6,894,982,715,233,33
BH1  1,575,597,270,90,19
BH1  2,224,242,108,16,5
BH1  3,1357,1180,613,153,38
BH1  4,1266,1439,1023,531,159
BH10 4,666,552,388,128,15
BH10 5,1164,1021,662,139,13
BH10 6,959,723,382,57,3
BH10 7,564,593,467,108,9
BH11 8,1217,1391,1093,388,48
BH11 9,1693,1531,952,203,19
BH12 1,1355,909,438,107,9
BH12 2,1501,1099,628,152,19
BH12 3,1198,1191,846,191,21
BH12 4,1175,1265,829,181,23
BH12 5,644,557,366,92,10
BH13 6,1114,894,353,31,0
BH13 7,1043,614,199,15,3
BH14 0,1405,1027,549,104,10
BH14 8,2467,1362,523,61,6
BH14 9,1650,866,388,91,13
BH15 1,1143,1026,676,188,17
BH15 2,1079,891,507,126,12
BH15 3,1991,1629,904,169,5
BH15 4,1724,1409,822,181,20
BH16 5,1780,1548,902,251,14
BH16 6,1016,684,301,58,2
BH17 7,1629,1315,758,131,14
BH17 8,1308,1026,570,105,12
BH17 9,1336,852,400,85,13
BH18 8,1002,707,295,28,3
BH18 9,1461,827,238,14,1
